content
想和你一起在晚风里，说些可爱的废话数星星，知道月亮也悄悄过来听
不知道碰到什么误点进来的路人 刚出声就被惊艳到了！！！也太绝了吧！！！
你要知道等你发现你等不到了，你就不年轻了
如果这次我们回不去了 那你我就好好保持距离 我也算是清醒了 我的爱让你觉得很累 那我就放过你 就当我们错过了  只是你不知道  我们分开的那天我的脑子里竟然全是你的好
"宁鸣而死，不默而生。
我愿意相信，那一天值得等待，那一眼满载星海。
就像我相信这不是最后一天。
就像我昨天喜欢你，今天喜欢你，十分幸运的是，我知道我明天也会喜欢你。
武汉加油，中国加油！"
疫无情，人有爱！我知道你很纠结，但总要学着自我和解。我们在这个春天等着你们治愈归来
"有一个可以用来形容你，特别温柔的词：“小众喜好”，意思是我喜欢你，海不知道，云不知道，只有我知道。
欢迎回来，sodagreen💚"
Godfrey，你知道吗，这首歌很好听的，因为听到它就会想到那么美好，那么绅士的你，愿你安好
你知道吗  人哭多了真的会头疼难受到极致真的会呕吐 那种喘不过气的感觉 希望你们永远不要体会到[女孩]
"你如果真的懂她
在她咄咄逼人
嘴不饶人的那一刻
你就应该知道
她有多难过
可是你不懂
你只会觉得她在无理取闹"
"所以你看见我信息也不回是吗？
“嗯，不知道说什么”"
开朗是装的，懂事是装的，跟谁都合得来是装的，自信是装的，只有我自己知道，自卑是真的，孤独是真的，难过是真的……
取消备注的那一刻 没有人看到我犹豫了多久  也没有人知道我有多失望.
其实你什么都知道，你知道我爱你，你知道我在等，你都知道，但你就是不要我
"第一次和你四目相对的时候 我看见了宇宙.🌻
不知道什么是喜欢 只知道看见你时会不自觉的笑起来🌻"
早知道就不添加好友了，小东西还挺难忘
“不知道从什么时候开始对你小心翼翼说话了 我记得我以前挺嚣张的 ”
"遗憾吗，小笨蛋
他硬要错过你
不知道是为了遇见谁"
毁掉一个女孩子真的很简单，就是刚开始对她很好，然后她喜欢上你了习惯有你的时候，你却义无反顾的选择离开，可是你不知道的是那个女孩子她不用三五年忘不掉[心碎]
首先 你要承认你爱我啊 我不明白为什么一定不承认 还要跟我做朋友 你明明知道我没办法跟你只做朋友
行了行了知道你是打字八英里和iron keyboard双冠军了
